type,repo_name,actor_login,event,issue_url,html_url,title,created_at
IssuesEvent,twbs/bootstrap,comerc,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15483","https://github.com/twbs/bootstrap/issues/15483","Modal dialog: scroll-area without shadow",2015-01-02 09:32:03.000000
IssuesEvent,twbs/bootstrap,SergiuTripon,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15707","https://github.com/twbs/bootstrap/issues/15707",".btn-group-justified - not responsive on small screens",2015-01-30 11:34:34.000000
IssuesEvent,twbs/bootstrap,flevour,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15512","https://github.com/twbs/bootstrap/issues/15512","Navbar example uses markup against doc recomendations ",2015-01-07 12:11:12.000000
IssuesEvent,twbs/bootstrap,vasena,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15602","https://github.com/twbs/bootstrap/issues/15602","visible scroll in modal dialog on table-responsive dropdown",2015-01-19 11:44:07.000000
IssuesEvent,twbs/bootstrap,shkarupa-alex,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15622","https://github.com/twbs/bootstrap/issues/15622",".tables-responsive doesn't work inside .media-body",2015-01-21 09:11:19.000000
IssuesEvent,twbs/bootstrap,franz-josef-kaiser,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15623","https://github.com/twbs/bootstrap/issues/15623","Wrong calculation of .container variables",2015-01-21 09:28:09.000000
IssuesEvent,twbs/bootstrap,cvrebert,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15624","https://github.com/twbs/bootstrap/issues/15624","v3.3.4 ship list",2015-01-21 09:29:53.000000
IssuesEvent,twbs/bootstrap,cheezedigital,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15538","https://github.com/twbs/bootstrap/issues/15538","abusing the priviliage of stupidity ",2015-01-10 16:36:52.000000
IssuesEvent,twbs/bootstrap,cvrebert,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15500","https://github.com/twbs/bootstrap/issues/15500","Document that tooltip methods are async",2015-01-06 02:19:37.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15387","https://github.com/twbs/bootstrap/issues/15387","Can't repeatedly create and destroy tooltip",2015-01-06 02:20:10.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15639","https://github.com/twbs/bootstrap/issues/15639","Animate.css + bootstrap (FireFox)",2015-01-22 17:56:09.000000
IssuesEvent,twbs/bootstrap,mewsoft,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15642","https://github.com/twbs/bootstrap/issues/15642","Suggestion for Breadcrumb",2015-01-22 17:59:28.000000
